,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,1,0,3,male,22.0,1,0,A/5 21171,7.25,,S
1,2,1,1,female,38.0,1,0,PC 17599,71.2833,C85,C
2,3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,,S
3,4,1,1,female,35.0,1,0,113803,53.1,C123,S
4,5,0,3,male,35.0,0,0,373450,8.05,,S
5,6,0,3,male,,0,0,330877,8.4583,,Q
6,7,0,1,male,54.0,0,0,17463,51.8625,E46,S
7,8,0,3,male,2.0,3,1,349909,21.075,,S
8,9,1,3,female,27.0,0,2,347742,11.1333,,S
9,10,1,2,female,14.0,1,0,237736,30.0708,,C
10,11,1,3,female,4.0,1,1,PP 9549,16.7,G6,S
11,12,1,1,female,58.0,0,0,113783,26.55,C103,S
12,13,0,3,male,20.0,0,0,A/5. 2151,8.05,,S
13,14,0,3,male,39.0,1,5,347082,31.275,,S
14,15,0,3,female,14.0,0,0,350406,7.8542,,S
15,16,1,2,female,55.0,0,0,248706,16.0,,S
16,17,0,3,male,2.0,4,1,382652,29.125,,Q
17,18,1,2,male,,0,0,244373,13.0,,S
18,19,0,3,female,31.0,1,0,345763,18.0,,S
19,20,1,3,female,,0,0,2649,7.225,,C
20,21,0,2,male,35.0,0,0,239865,26.0,,S
21,22,1,2,male,34.0,0,0,248698,13.0,D56,S
22,23,1,3,female,15.0,0,0,330923,8.0292,,Q
23,24,1,1,male,28.0,0,0,113788,35.5,A6,S
24,25,0,3,female,8.0,3,1,349909,21.075,,S
25,26,1,3,female,38.0,1,5,347077,31.3875,,S
26,27,0,3,male,,0,0,2631,7.225,,C
27,28,0,1,male,19.0,3,2,19950,263.0,C23 C25 C27,S
28,29,1,3,female,,0,0,330959,7.8792,,Q
29,30,0,3,male,,0,0,349216,7.8958,,S
30,31,0,1,male,40.0,0,0,PC 17601,27.7208,,C
31,32,1,1,female,,1,0,PC 17569,146.5208,B78,C
32,33,1,3,female,,0,0,335677,7.75,,Q
33,34,0,2,male,66.0,0,0,C.A. 24579,10.5,,S
34,35,0,1,male,28.0,1,0,PC 17604,82.1708,,C
35,36,0,1,male,42.0,1,0,113789,52.0,,S
36,37,1,3,male,,0,0,2677,7.2292,,C
37,38,0,3,male,21.0,0,0,A./5. 2152,8.05,,S
38,39,0,3,female,18.0,2,0,345764,18.0,,S
39,40,1,3,female,14.0,1,0,2651,11.2417,,C
40,41,0,3,female,40.0,1,0,7546,9.475,,S
41,42,0,2,female,27.0,1,0,11668,21.0,,S
42,43,0,3,male,,0,0,349253,7.8958,,C
43,44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,,C
44,45,1,3,female,19.0,0,0,330958,7.8792,,Q
45,46,0,3,male,,0,0,S.C./A.4. 23567,8.05,,S
46,47,0,3,male,,1,0,370371,15.5,,Q
47,48,1,3,female,,0,0,14311,7.75,,Q
48,49,0,3,male,,2,0,2662,21.6792,,C
49,50,0,3,female,18.0,1,0,349237,17.8,,S
50,51,0,3,male,7.0,4,1,3101295,39.6875,,S
51,52,0,3,male,21.0,0,0,A/4. 39886,7.8,,S
52,53,1,1,female,49.0,1,0,PC 17572,76.7292,D33,C
53,54,1,2,female,29.0,1,0,2926,26.0,,S
54,55,0,1,male,65.0,0,1,113509,61.9792,B30,C
55,56,1,1,male,,0,0,19947,35.5,C52,S
56,57,1,2,female,21.0,0,0,C.A. 31026,10.5,,S
57,58,0,3,male,28.5,0,0,2697,7.2292,,C
58,59,1,2,female,5.0,1,2,C.A. 34651,27.75,,S
59,60,0,3,male,11.0,5,2,CA 2144,46.9,,S
60,61,0,3,male,22.0,0,0,2669,7.2292,,C
61,62,1,1,female,38.0,0,0,113572,80.0,B28,
62,63,0,1,male,45.0,1,0,36973,83.475,C83,S
63,64,0,3,male,4.0,3,2,347088,27.9,,S
64,65,0,1,male,,0,0,PC 17605,27.7208,,C
65,66,1,3,male,,1,1,2661,15.2458,,C
66,67,1,2,female,29.0,0,0,C.A. 29395,10.5,F33,S
67,68,0,3,male,19.0,0,0,S.P. 3464,8.1583,,S
68,69,1,3,female,17.0,4,2,3101281,7.925,,S
69,70,0,3,male,26.0,2,0,315151,8.6625,,S
70,71,0,2,male,32.0,0,0,C.A. 33111,10.5,,S
71,72,0,3,female,16.0,5,2,CA 2144,46.9,,S
72,73,0,2,male,21.0,0,0,S.O.C. 14879,73.5,,S
73,74,0,3,male,26.0,1,0,2680,14.4542,,C
74,75,1,3,male,32.0,0,0,1601,56.4958,,S
75,76,0,3,male,25.0,0,0,348123,7.65,F G73,S
76,77,0,3,male,,0,0,349208,7.8958,,S
77,78,0,3,male,,0,0,374746,8.05,,S
78,79,1,2,male,0.83,0,2,248738,29.0,,S
79,80,1,3,female,30.0,0,0,364516,12.475,,S
80,81,0,3,male,22.0,0,0,345767,9.0,,S
81,82,1,3,male,29.0,0,0,345779,9.5,,S
82,83,1,3,female,,0,0,330932,7.7875,,Q
83,84,0,1,male,28.0,0,0,113059,47.1,,S
84,85,1,2,female,17.0,0,0,SO/C 14885,10.5,,S
85,86,1,3,female,33.0,3,0,3101278,15.85,,S
86,87,0,3,male,16.0,1,3,W./C. 6608,34.375,,S
87,88,0,3,male,,0,0,SOTON/OQ 392086,8.05,,S
88,89,1,1,female,23.0,3,2,19950,263.0,C23 C25 C27,S
89,90,0,3,male,24.0,0,0,343275,8.05,,S
90,91,0,3,male,29.0,0,0,343276,8.05,,S
91,92,0,3,male,20.0,0,0,347466,7.8542,,S
92,93,0,1,male,46.0,1,0,W.E.P. 5734,61.175,E31,S
93,94,0,3,male,26.0,1,2,C.A. 2315,20.575,,S
94,95,0,3,male,59.0,0,0,364500,7.25,,S
95,96,0,3,male,,0,0,374910,8.05,,S
96,97,0,1,male,71.0,0,0,PC 17754,34.6542,A5,C
97,98,1,1,male,23.0,0,1,PC 17759,63.3583,D10 D12,C
98,99,1,2,female,34.0,0,1,231919,23.0,,S
99,100,0,2,male,34.0,1,0,244367,26.0,,S
100,101,0,3,female,28.0,0,0,349245,7.8958,,S
101,102,0,3,male,,0,0,349215,7.8958,,S
102,103,0,1,male,21.0,0,1,35281,77.2875,D26,S
103,104,0,3,male,33.0,0,0,7540,8.6542,,S
104,105,0,3,male,37.0,2,0,3101276,7.925,,S
105,106,0,3,male,28.0,0,0,349207,7.8958,,S
106,107,1,3,female,21.0,0,0,343120,7.65,,S
107,108,1,3,male,,0,0,312991,7.775,,S
108,109,0,3,male,38.0,0,0,349249,7.8958,,S
109,110,1,3,female,,1,0,371110,24.15,,Q
110,111,0,1,male,47.0,0,0,110465,52.0,C110,S
111,112,0,3,female,14.5,1,0,2665,14.4542,,C
112,113,0,3,male,22.0,0,0,324669,8.05,,S
113,114,0,3,female,20.0,1,0,4136,9.825,,S
114,115,0,3,female,17.0,0,0,2627,14.4583,,C
115,116,0,3,male,21.0,0,0,STON/O 2. 3101294,7.925,,S
116,117,0,3,male,70.5,0,0,370369,7.75,,Q
117,118,0,2,male,29.0,1,0,11668,21.0,,S
